Groupe,Erreur moyenne (€),Interprétation
Région northeast,-488.52,Sous-estimation
Région northwest,-490.27,Sous-estimation
Région southeast,1238.14,Légère sur-estimation
Région southwest,330.2,Légère sur-estimation
